Edad;Experiencia;Ingreso;Familia;credito;educacion;cuenta de ahorros;servicios online;tarjeta de credito
40;15;4,242640687;2;100;2;0;1;1
40;15;9;2;400;1;0;1;0
32;8;5,477225575;4;400;2;0;1;0
57;31;6,244997998;1;2200;3;0;1;1
41;15;7,348469228;3;2100;1;0;1;0
45;19;5;2;100;3;0;1;0
59;35;7,615773106;1;0;2;0;1;0
28;3;10,72380529;1;1900;1;1;1;0
47;22;4,69041576;1;400;3;0;1;0
61;35;9,486832981;4;1900;2;0;1;0
34;8;4,242640687;4;300;1;0;0;0
53;29;9,643650761;1;2700;2;0;1;0
44;20;10,53565375;2;5300;2;0;1;0
36;12;5;4;1000;1;0;1;0
65;40;6,32455532;1;1100;3;0;0;0
53;29;3,464101615;1;300;1;0;0;0
46;20;8,306623863;3;2100;1;1;0;0
39;14;6,557438524;3;700;2;0;1;0
32;6;8,831760866;1;2900;3;0;0;0
52;27;9;4;3800;2;0;0;1
40;15;8,544003745;3;3000;1;0;1;1
52;26;10,67707825;1;4900;1;0;0;0
61;35;12,40967365;2;6900;1;0;0;0
41;17;11;1;300;1;0;1;0
40;13;7941173,935;3;2330;2;0;0;0
54;24;7;1;1400;3;0;1;0
44;20;4,69041576;1;1000;1;0;0;0
39;13;7,071067812;3;500;3;0;0;0
55;30;8,306623863;4;1300;3;0;1;1
47;22;3,872983346;2;700;3;0;0;0
50;26;3,605551275;4;1000;1;1;1;0
35;5;9,219544457;4;4000;3;0;1;0
61;35;5,567764363;2;300;1;0;1;0
29;5;5,567764363;1;1000;3;0;0;0
28;2;9,16515139;1;2900;3;0;0;1
41;16;8;3;500;3;0;0;0
39;14;8,602325267;1;100;2;0;1;0
56;30;6,557438524;2;300;1;0;0;0
36;9;10,72380529;4;2200;2;0;0;0
58;28;9,486832981;1;3000;3;1;0;1
64;38;6,32455532;1;2500;3;0;1;1
58;28;8,544003745;1;1400;3;0;0;0
54;30;9,38083152;4;1000;2;0;1;0
56;30;12,56980509;4;6100;1;1;0;0
46;22;9,433981132;4;1400;2;0;1;0
32;7;6,633249581;4;800;1;0;1;0
60;34;10,09950494;2;2000;1;0;1;1
56;30;10,53565375;4;300;1;0;1;0
45;20;9,695359715;3;500;3;0;1;0
58;33;8,544003745;4;700;1;0;0;0
58;34;4,69041576;1;100;2;0;1;0
57;32;8;3;1600;3;0;1;0
64;40;6,557438524;1;1900;2;0;1;0
29;3;8,94427191;4;1800;2;0;1;1
59;35;6,708203932;1;1800;3;0;1;0
39;12;7,874007874;3;2330;2;1;0;0
43;18;14,28285686;2;8800;1;0;1;0
37;11;6,557438524;4;1200;2;0;0;0
42;18;7,071067812;4;2200;2;0;0;0
29;5;4,582575695;4;400;2;0;0;1
35;9;7,937253933;2;1800;1;0;1;0
31;5;11,35781669;3;5900;3;0;0;1
25;1;11,04536102;2;200;1;0;1;0
60;36;11,48912529;2;6000;1;0;1;1
60;35;5,656854249;1;300;3;0;1;0
64;40;7,211102551;2;1100;1;1;0;0
52;28;7,348469228;4;100;3;0;0;1
46;22;8,485281374;4;1400;2;0;1;1
54;28;7,745966692;4;2600;3;0;0;0
58;32;8,544003745;2;700;2;0;1;1
55;31;8,602325267;2;3200;3;0;1;1
50;25;6,708203932;2;600;3;0;0;0
52;27;9;1;1300;3;0;0;1
56;30;8,544003745;2;1100;1;0;0;0
61;35;6,164414003;2;300;1;0;0;0
41;16;8,062257748;3;500;3;0;1;0
54;30;6,32455532;2;1000;3;0;0;0
47;22;6,32455532;3;2700;2;0;1;0
49;23;9,110433579;1;300;1;0;1;1
30;6;6,480740698;1;2100;3;0;1;0
31;7;11,3137085;1;6000;1;0;0;0
25;0;5,291502622;2;1700;2;0;0;0
47;20;3,605551275;3;670;2;0;1;0
29;4;7,615773106;1;800;2;0;1;1
35;11;7,615773106;3;2000;1;0;1;1
37;11;8,426149773;2;1800;1;0;0;0
51;27;6,244997998;2;800;1;0;0;0
63;39;6,403124237;4;1300;2;0;1;0
36;12;10,63014581;4;200;1;0;0;0
64;38;6,480740698;2;700;3;0;1;0
45;21;9,16515139;4;2000;3;0;1;1
42;18;9,110433579;4;2000;3;0;1;0
31;5;4,242640687;4;300;2;0;0;1
60;35;10,39230485;1;900;1;0;0;0
52;26;10,48808848;2;5400;3;0;1;0
53;27;13,03840481;1;1000;1;0;1;0
28;2;6,92820323;4;2100;3;0;1;1
44;18;5,744562647;3;1500;1;0;1;1
62;37;4,242640687;1;1500;2;0;0;0
45;20;6,480740698;1;300;3;1;1;0
43;19;8,660254038;4;200;3;0;1;0
62;36;13,52774926;2;3400;3;0;0;0
52;26;6,708203932;3;600;2;0;0;0
49;25;3,605551275;3;400;1;1;1;0
299.728.027.387.869;5;4,795831523;1;400;2;0;1;1
62;36;8,306623863;2;1700;3;0;1;0
61;36;4,795831523;1;100;1;0;0;0
45;21;14,76482306;2;6670;1;1;1;0
56;30;6,244997998;3;1400;1;0;0;1
38;12;7,280109889;2;2400;2;0;1;0
35;10;9,110433579;4;700;3;1;1;0
43;18;7,745966692;2;2200;3;0;0;0
36;12;9,643650761;2;2200;1;0;1;1
60;34;4,69041576;3;300;3;0;1;1
33;9;7,280109889;1;1200;1;0;0;1
53;27;6,164414003;4;2800;2;0;1;0
25;-1;6,557438524;3;2400;2;0;1;0
65;41;10,24695077;1;3000;2;1;1;0
55;31;4,472135955;2;300;1;0;1;0
63;38;7,810249676;2;1500;1;0;1;0
30;6;9,746794345;2;200;1;0;1;0
60;36;5,477225575;4;1300;1;0;1;1
45;18;8,94427191;3;2670;2;0;0;0
27;3;5,477225575;1;1000;3;0;0;0
25;1;3,605551275;4;1000;1;0;0;1
37;11;6,633249581;4;200;1;0;0;1
60;36;12,20655562;1;4700;1;0;1;0
65;40;4,472135955;3;100;3;0;0;1
51;25;5,830951895;3;900;3;0;1;0
57;31;11,44552314;2;2700;1;0;0;1
51;27;3,464101615;4;1000;1;0;1;0
53;29;9,899494937;3;1800;2;0;0;0
31;7;5,916079783;2;1000;2;0;0;1
45;20;6,403124237;1;300;1;0;1;0
47;23;5,656854249;4;600;1;0;1;1
61;37;8,246211251;4;2300;3;0;0;0
52;28;3,872983346;1;200;1;0;1;0
39;14;4,69041576;2;300;2;0;1;0
34;9;5,567764363;4;1100;3;0;1;1
63;37;2,828427125;1;800;2;0;1;0
60;35;11,04536102;1;1300;1;0;0;0
61;36;11,78982612;2;3900;1;0;0;0
59;35;6,480740698;4;400;1;0;1;0
43;17;9;4;2600;3;0;1;0
51;25;5,385164807;1;300;3;1;0;0
25;1;5,291502622;1;1000;3;0;1;0
29;4;13,52774926;3;8300;3;0;1;0
42;18;7,211102551;2;2500;1;0;0;0
51;27;9,643650761;1;2700;1;0;1;0
35;11;6,164414003;1;1700;1;0;0;1
33;3;8,306623863;4;1800;3;0;1;0
49;25;8,062257748;2;1000;3;0;1;1
64;38;5,656854249;2;300;1;0;1;1
29;5;6,708203932;3;100;2;0;1;0
30;6;13,45362405;3;4100;2;0;1;1
47;23;4,69041576;4;600;1;1;1;1
49;24;5;2;700;3;0;1;0
35;11;5,830951895;1;1500;2;0;0;0
48;22;8,831760866;3;1100;1;0;1;0
47;20;8,888194417;3;2000;2;1;0;0
64;37;11,74734012;2;2800;2;0;1;0
42;17;12,40967365;3;4900;1;0;1;1
53;27;7,071067812;2;800;3;0;1;0
55;30;6,633249581;2;2000;2;0;1;0
63;37;5,477225575;2;1000;3;0;1;0
51;27;8,94427191;1;2600;2;0;1;1
54;29;13,52774926;1;8100;1;0;1;1
41;17;9;4;200;3;0;0;0
30;6;7,211102551;3;700;2;0;1;0
28;4;8,94427191;3;2500;1;0;1;0
51;27;10,58300524;3;1800;2;0;1;1
65;40;11,35781669;1;1300;1;0;1;1
28;3;11,91637529;1;800;1;1;1;0
65;39;5;2;400;1;1;1;0
61;37;7,810249676;3;2000;3;0;1;0
282.530.856.787.897;2;10,19803903;3;2500;1;0;0;0
46;21;6,403124237;1;500;3;0;0;0
29;4;13,49073756;1;3700;3;1;1;0
50;25;3;2;0;1;1;0;0
48;22;11,53256259;2;3100;2;1;1;0
42;18;6,708203932;1;700;1;1;1;0
45;19;7,745966692;2;400;3;0;1;0
55;29;7,416198487;1;200;1;0;1;0
61;35;27777533,7;1;1600;1;0;1;0
66;41;10,24695077;1;800;3;0;1;1
54;28;5,744562647;2;700;2;0;0;1
64;40;8,660254038;3;2000;3;0;1;0
43;17;6,92820323;3;2200;2;0;0;1
54;30;8,831760866;4;1000;2;0;1;0
44;19;14,17744688;2;8800;1;0;1;1
43;18;10,63014581;2;400;1;0;0;0
54;24;1994455,277;3;1000;3;0;0;1
33;9;13,56465997;2;4800;2;0;0;0
65;39;6,633249581;1;500;3;0;1;1
471.909.380.059.145;21;5,291502622;3;1500;1;0;1;0
30;5;7,141428429;1;1,11E+15;1;0;1;0
43;19;5,916079783;1;700;1;0;0;0
30;3;8,246211251;4;2000;2;0;1;0
41;16;10,44030651;3;1000;1;0;1;0
49;25;4,898979486;1;300;1;0;0;0
42;17;8,544003745;4;400;1;0;0;0
41;16;5;2;100;2;0;0;0
33;9;4,472135955;4;700;2;0;1;0
61;37;7,874007874;1;0;2;0;1;0
25;0;5,477225575;2;1700;2;1;0;0
62;37;9,486832981;3;500;1;1;1;0
30;6;5,656854249;2;1000;2;0;0;0
26;0;7,348469228;3;1100;2;1;1;0
33;7;9,16515139;1;2900;3;0;1;0
38;12;8;2;1800;1;0;0;0
58;33;3;2;200;3;0;1;0
44;20;11,04536102;1;300;1;0;1;0
47;20;10,04987562;3;2000;2;0;1;0
58;32;6,403124237;3;1400;1;0;1;0
55;29;5,477225575;4;700;2;0;0;1
53;27;7,745966692;1;200;1;0;1;0
35;8;6,633249581;4;1000;2;0;0;1
351.817.290.307.699;9;11,18033989;1;4300;3;0;1;0
56;32;12,56980509;1;7400;1;0;0;0
34;9;13098688,96;3;6900;2;0;1;0
27;1;7,615773106;4;1800;2;0;1;1
39;15;8,485281374;4;2400;1;1;1;0
42;17;10,67707825;2;400;1;0;0;0
43;18;5,916079783;1;600;3;0;0;0
48;23;4,69041576;1;100;1;0;0;0
44;19;9,110433579;4;400;1;0;0;0
52;28;7,874007874;1;1800;3;0;1;0
26;-1;6,633249581;1;2000;2;0;0;0
27;2;10,48808848;4;1800;3;0;1;0
45;21;11,48912529;3;1200;2;0;1;1
43;17;9,539392014;1;5200;1;0;0;0
44;20;6,708203932;2;2500;1;0;1;0
61;31;7;4;1670;3;0;1;0
58;32;6,403124237;1;200;1;0;1;0
41;16;8,306623863;1;100;2;0;1;0
32;8;5,656854249;2;1000;2;0;1;1
30;6;10,04987562;2;600;1;0;1;0
35;9;6,557438524;2;300;1;0;1;0
43;19;11,40175425;2;4700;3;1;0;1
35;11;3;4;700;2;0;1;0
47;22;9,055385138;1;2900;1;0;1;0
56;30;13,60147051;1;2900;1;0;0;0
53;28;3,741657387;4;800;1;0;1;1
31;7;6,164414003;1;200;3;0;1;0
40;14;9,591663047;4;1400;2;1;1;0
59;34;4,795831523;1;100;1;0;0;1
31;4;7,348469228;2;1000;2;0;0;1
49;23;11,35781669;1;300;1;0;1;1
56;30;9;4;2600;3;0;1;0
42;17;8,888194417;1;3700;3;0;0;1
45;19;6,164414003;2;700;1;0;0;0
31;5;6,32455532;4;1300;3;0;0;0
46;22;12;2;3300;1;0;1;1
64;34;13,37908816;2;4500;3;0;0;0
50;24;10,09950494;2;6300;1;0;1;0
61;36;11,40175425;1;1300;1;0;0;0
50;24;7,810249676;4;2600;1;1;1;0
63;38;7,348469228;3;1,74E+17;1;0;1;0
27;1;8;4;1800;2;0;1;1
34;10;7,348469228;3;2000;1;0;0;0
63;39;6,32455532;1;800;1;0;0;1
53;27;9;4;2600;3;0;1;0
31;5;3,31662479;1;400;2;0;0;1
26;2;9,746794345;3;800;1;0;1;0
36;12;8,306623863;3;3100;2;0;1;0
32;7;6,708203932;3;2300;1;0;1;0
23;-3;7,416198487;3;2400;2;0;1;0
50;26;9,591663047;1;2600;2;0;0;1
49;23;4,69041576;1;300;3;0;0;0
53;27;9,643650761;1;800;3;0;0;0
64;40;4,582575695;2;300;3;0;0;0
32;7;6,164414003;1;1000;1;0;1;0
53;29;6,403124237;2;800;1;0;1;0
52;28;7,416198487;2;3200;3;0;0;0
33;7;6,92820323;4;2200;2;0;0;0
61;36;7,348469228;3;1500;1;0;1;0
32;6;20844939,37;2;300;2;0;1;0
28;2;10,53565375;4;2300;3;1;1;0
23;-2;6,708203932;4;600;2;0;1;1
42;15;6,244997998;3;1000;2;0;0;0
47;23;6,164414003;2;2100;3;0;0;0
32;8;10,19803903;2;3700;1;0;0;1
34;8;8,062257748;1;3000;1;0;1;0
33;8;25118654,98;3;2300;1;0;0;1
47;23;12,64911064;2;6670;1;0;0;0
23;-1;8,544003745;4;2600;1;0;1;0
54;28;7;4;2800;2;0;0;0
59;34;9,110433579;2;3400;3;0;1;0
40;16;11,74734012;2;6100;1;0;1;0
28;2;3,31662479;1;100;2;0;1;1
57;32;5,830951895;2;2000;2;0;0;0
40;16;6,480740698;4;2200;2;0;0;0
31;7;5,656854249;1;1700;1;0;1;0
40;15;13,07669683;2;3300;1;0;1;0
41;15;9,055385138;3;100;1;1;1;0
61;36;12,36931688;1;2600;2;0;0;1
60;35;13,15294644;3;3100;3;0;1;0
38;13;6,403124237;4;1700;1;0;1;0
49;24;6,708203932;3;1700;2;1;1;0
38;13;11,35781669;4;300;3;0;1;0
55;29;8,831760866;4;2600;3;0;0;1
42;17;3,741657387;2;100;2;0;1;0
39;13;5;3;200;2;0;1;0
42;16;13,15294644;2;1500;2;0;1;1
36;12;8,062257748;3;2600;2;0;1;0
42;16;5,291502622;4;1500;3;0;1;1
25;1;8,485281374;3;800;1;0;1;0
32;6;5,916079783;3;1000;1;0;1;0
63;37;5,656854249;3;700;2;0;0;0
50;25;4,358898944;4;400;2;0;1;1
30;4;5,477225575;3;1000;1;0;1;0
44;20;11,35781669;2;3300;1;0;1;0
37;12;11,09053651;4;3100;2;0;1;1
64;39;12,04159458;1;900;1;0;0;0
52;28;12,20655562;2;400;1;0;0;0
59;35;6,32455532;4;400;1;0;1;0
51;26;7,211102551;4;1800;3;0;1;0
59;34;4,898979486;2;200;3;0;1;0
47;22;8,062257748;1;2400;1;1;1;0
29;5;11,61895004;3;5300;1;1;1;1
40;14;7,937253933;3;500;3;1;1;0
59;33;7,280109889;3;2500;1;0;1;0
52;25;13,41640786;2;9000;2;0;1;0
31;5;9,219544457;3;1600;1;0;1;1
30;5;8,544003745;1;2600;2;0;1;0
47;22;4,358898944;1;400;3;0;1;0
62;37;5,385164807;1;300;3;0;0;1
55;28;4,582575695;1;500;2;0;0;1
62;36;9,16515139;2;2800;1;0;1;0
35;11;9,219544457;4;100;2;1;0;0
39;12;10,39230485;4;3670;2;0;0;1
59;35;20772892,36;1;1200;3;1;1;0
52;26;10,04987562;2;2400;2;0;1;0
35;10;11,78982612;1;4600;1;0;0;0
49;23;3,464101615;2;100;3;0;1;0
32;6;9,949874371;2;4500;3;0;1;0
58;32;12,76714533;2;500;1;0;0;0
42;17;7,280109889;4;1900;3;0;1;0
54;28;6,480740698;4;2500;1;1;1;1
59;34;8,602325267;4;700;1;0;1;1
53;28;6,557438524;2;2100;3;0;1;1
54;28;10332868,38;4;4900;1;0;1;0
62;36;5,385164807;2;700;3;0;0;0
59;32;6,32455532;4;2500;2;0;1;0
34;9;6,403124237;1;1,32E+17;1;0;1;0
38;14;7,348469228;2;600;3;0;0;0
47;23;10,48808848;2;3300;1;0;1;1
32;6;9,899494937;2;2,48E+17;3;0;0;0
27;3;11,61895004;3;2700;3;0;0;1
39;15;5,744562647;1;2000;2;0;0;0
29;4;10,48808848;4;2500;3;0;0;0
35;9;8,306623863;4;2200;2;0;0;1
44;20;7,211102551;1;800;3;0;0;1
30;6;6,480740698;1;2100;3;0;0;1
42;18;9,486832981;4;800;1;0;0;0
46;19;7;3;2500;2;0;1;1
29;5;7,874007874;1;1200;1;0;1;0
57;33;3;1;100;2;0;1;0
45;19;9,539392014;2;1700;2;0;1;0
58;33;4,795831523;3;200;1;0;0;0
59;33;6,557438524;2;300;1;0;0;1
28;-2;6,92820323;2;1750;3;1;1;0
57;32;7,071067812;4;2100;1;0;0;0
62;37;4,69041576;1;1500;2;0;1;0
54;28;9,486832981;1;300;1;0;1;0
58;32;6,633249581;1;800;2;0;0;0
41;17;9;1;800;2;0;1;0
31;5;4,472135955;2;300;1;0;0;0
34;9;11,74734012;2;7800;1;0;1;0
52;28;6,557438524;4;1100;2;0;0;0
31;6;7,416198487;4;2000;2;0;1;0
32;6;7,071067812;4;2100;3;0;1;1
45;20;5,477225575;1;100;1;0;1;0
60;34;9,746794345;2;700;2;0;1;1
43;19;11,48912529;1;5000;1;0;0;0
30;6;12,40967365;1;6000;1;0;0;0
53;27;10,48808848;1;4900;1;0;1;0
48;24;9,486832981;1;2600;2;0;1;0
47;23;4,358898944;1;1000;1;0;0;1
34;10;9,110433579;2;2000;2;0;0;0
43;18;8,062257748;2;2200;3;0;1;0
46;20;7,348469228;1;700;3;0;1;1
43;16;8,426149773;3;2330;2;0;0;0
41;16;8,366600265;3;500;3;0;0;1
56;31;7,810249676;4;900;1;1;1;1
64;39;9,899494937;3;1800;2;0;1;0
36;12;4,242640687;1;500;3;0;0;1
59;33;8,485281374;2;700;2;0;0;0
23;-1;12,20655562;1;6330;1;0;0;1
40;16;9,433981132;4;800;1;0;1;0
60;34;6,557438524;1;1400;1;0;1;1
40;13;4,898979486;3;1000;2;0;1;0
47;21;11,18033989;1;5700;1;0;0;0
42;16;3,31662479;1;200;1;1;0;1
52;27;13,56465997;1;8100;1;0;0;0
522.888.269.101.316;30;8,888194417;3;800;1;0;0;0
41;15;8,062257748;2;2800;1;0;1;1
44;20;13,22875656;2;1400;1;0;1;1
24;0;6,633249581;3;100;2;0;0;0
51;25;10,09950494;1;300;1;0;1;0
39;13;8,660254038;3;2100;1;0;1;0
29;3;9,16515139;1;2900;3;0;1;0
57;33;7,810249676;3;2670;1;0;1;0
44;19;7,810249676;3;2700;2;0;0;0
46;20;12,04159458;2;6300;1;0;1;0
36;12;4,69041576;4;1000;1;0;1;0
27;1;11,5758369;1;1700;2;0;1;0
59;35;3,741657387;4;700;1;0;1;0
36;12;9,643650761;2;2200;1;0;1;0
55;30;8,366600265;3;2000;2;0;1;1
46;21;6,244997998;4;0;2;0;1;0
66;41;12,04159458;1;2500;1;0;1;0
56;31;13,85640646;1;7000;3;0;1;0
34;8;13,07669683;2;2200;2;0;1;0
24;0;6,164414003;1;1000;3;0;1;0
58;33;5,291502622;1;300;3;0;1;0
47;20;5;3;670;2;0;1;1
44;19;12,40967365;2;8800;1;0;1;0
42;16;7,416198487;2;700;1;0;0;0
48;22;9,486832981;2;800;3;0;0;0
41;16;6,633249581;1;300;3;0;0;0
43;19;11,18033989;3;2400;1;0;1;0
42;18;11,40175425;2;7500;1;1;0;1
32;2;8,426149773;2;1750;3;0;0;0
62;36;10,24695077;2;2800;1;0;0;0
28;4;6,164414003;4;1600;1;0;0;0
61;35;5,291502622;2;200;3;1;1;0
23;-3;12,20655562;2;7200;1;0;1;0
65;41;6,32455532;3;100;3;0;1;0
41;16;10,19803903;1;4000;3;0;1;1
51;25;6,708203932;4;2600;1;0;0;0
48;22;10,67707825;1;2400;3;0;1;0
38;14;4,472135955;4;400;2;0;1;1
44;20;9,055385138;4;1400;2;0;1;1
62;32;7,280109889;4;1670;3;0;0;0
60;35;7,141428429;2;2800;1;0;1;0
51;26;13,82027496;1;8100;1;0;1;0
45;20;9,486832981;4;1100;2;0;1;1
46;20;8;4;2900;1;0;0;0
26;0;9,219544457;2;1600;3;0;1;1
62;38;11,09053651;1;2900;1;0;0;0
44;20;10,63014581;2;3300;1;0;1;1
51;27;8,660254038;1;2700;1;0;0;0
50;24;7,874007874;2;800;3;0;1;0
34;8;13,22875656;4;1100;3;0;1;1
55;30;9,949874371;1;100;3;0;0;0
33;9;10,24695077;1;4000;1;0;1;0
35;10;11,78982612;2;4,09E+17;1;0;0;0
64;40;2,828427125;2;300;3;0;1;0
29;4;11,5758369;2;3300;1;0;0;0
25;0;3,605551275;2;900;3;0;1;0
50;23;4,358898944;1;500;2;0;0;1
66;41;3,872983346;3;100;3;1;1;0
50;25;3,605551275;2;700;3;0;0;0
49;23;10,67707825;1;300;1;0;1;0
26;2;13,49073756;2;3200;2;0;0;0
35;10;7,874007874;3;2300;1;0;0;0
58;34;9,486832981;1;3600;2;0;0;0
50;23;9,899494937;3;2000;2;0;0;0
34;10;4,69041576;1;500;3;0;0;0
45;19;4,795831523;2;100;3;0;1;1
38;14;7,937253933;1;3600;2;0;1;0
58;32;5,291502622;2;300;1;0;0;0
474.418.114.951.456;21;12,32882801;2;1400;1;1;1;0
45;20;4,69041576;1;100;1;0;0;0
41;15;9,433981132;3;100;1;0;1;0
36;10;8,602325267;1;1,90E+17;1;0;0;1
46;20;4,358898944;3;500;2;0;1;0
41;17;12,84523258;2;8000;1;0;1;0
49;25;5,477225575;4;600;1;0;0;0
51;25;5,567764363;2;400;3;0;1;1
54;30;4,898979486;1;100;2;0;0;0
48;23;11,3137085;1;600;1;0;1;1
34;9;10,19803903;3;1200;3;0;1;0
66;41;5;4;600;2;0;1;1
48;22;4,358898944;2;100;3;0;0;0
41;17;8,426149773;2;3200;1;1;1;1
36;11;9,899494937;3;1200;3;0;0;1
48;23;5,385164807;1;1300;2;0;0;0
59;35;5,567764363;3;400;2;0;1;1
59;34;7,745966692;2;2800;1;0;1;0
43;18;25285555,92;4;1100;2;0;1;0
40;14;8;4;200;3;0;1;1
27;3;5,830951895;1;200;3;0;1;1
43;18;4,69041576;2;300;2;0;0;0
33;9;8;4;1,21E+17;1;0;0;0
51;27;7,615773106;1;0;1;0;0;1
43;18;9,899494937;2;400;1;0;1;0
46;22;26667647,95;1;2700;1;1;1;1
43;19;7,348469228;2;1700;1;0;1;0
40;16;11,18033989;2;1900;1;0;0;1
30;5;4,795831523;2;900;3;0;1;0
48;24;7,681145748;1;0;1;0;1;0
58;34;8,246211251;2;2800;1;0;0;0
47;21;8,246211251;4;2600;3;0;0;0
51;24;4,795831523;1;500;2;0;1;0
43;17;7,416198487;3;2200;2;0;0;0
51;25;13,22875656;3;700;1;0;0;0
45;21;7,615773106;3;300;3;0;1;0
59;34;3,741657387;1;100;1;0;1;1
42;18;5,830951895;4;300;1;0;1;0
46;21;5,477225575;1;722,8512319;3;0;0;0
30;5;10,58300524;4;5000;2;0;0;1
59;33;8,94427191;2;700;2;0;1;0
59;32;24630180,5;4;2500;2;0;1;0
37;13;8,426149773;2;1700;2;0;1;1
62;38;6,633249581;1;1900;2;1;0;1
37;7;8,544003745;4;1800;3;0;1;1
52;26;7,681145748;3;3000;2;0;1;0
44;20;13,41640786;2;7600;1;0;0;1
66;41;8,544003745;3;2400;1;1;0;0
31;5;5,385164807;1;300;1;0;0;0
58;34;9,055385138;1;4300;1;0;0;0
59;35;9,539392014;2;1600;1;0;0;1
35;8;6,92820323;2;1000;2;0;1;0
31;6;9;2;2500;1;0;0;0
56;30;3,872983346;4;700;3;0;0;0
27;2;11,40175425;3;4400;1;0;1;0
35;8;6,557438524;2;1670;2;1;0;0
29;5;4,582575695;3;900;3;0;0;0
56;32;4,795831523;4;700;1;0;1;1
58;32;6,633249581;3;2200;3;0;0;0
27;3;10,14889157;2;600;1;0;0;0
55;31;8,602325267;3;2670;1;0;0;1
