;PC1;PC2;PC3
96;-179.825.457.509.599;-304.929.863.523.403;401.410.446.908.323
97;-18.372.032.178.318;-436.885.380.781.729;96.459.866.842.541
98;-184.407.445.899.866;-46.040.500.749.686;493.482.467.478.048
99;-185.908.263.605.324;-470.088.280.295.743;843.295.615.698.333
100;-184.996.717.374.805;-466.086.406.005.246;512.636.601.131.906
101;-128.000.021.697.343;356.611.056.284.925;-392.066.816.650.361
102;-128.580.236.240.127;347.983.428.711.143;-398.305.771.557.018
103;-835.641.961.243.572;171.740.668.593.701;251.504.983.447.891
104;-127.379.145.159.894;365.014.809.258.554;-389.997.452.377.896
105;-126.310.419.324.744;382.646.169.450.506;-37.596.977.580.859
106;-126.721.653.783.514;375.328.570.922.144;-387.834.560.462.244
107;-126.509.488.144.607;372.745.172.364.402;-402.810.388.320.316
108;-126.449.116.046.786;394.494.174.923.523;-329.350.516.412.884
109;-127.025.260.993.214;368.434.067.025.012;-398.449.742.110.852
110;-126.638.148.816.091;381.532.772.084.906;-361.417.425.641.424
111;-128.953.159.011.175;34.968.751.624.066;-37.716.735.246.989
112;-103.354.574.148.285;710.856.723.930.348;-603.926.031.928.097
113;-102.487.517.315.158;723.447.276.146.243;-599.543.640.257.867
114;-101.869.707.941.519;723.866.538.317.263;-618.488.195.137.076
115;-102.073.651.053.378;743.444.173.988.135;-54.281.252.204.214
116;-9.591.334.783.871;929.466.480.601.172;-149.722.882.411.808
117;-103.422.815.741.645;715.667.953.010.977;-582.053.079.711.848
118;-103.092.190.930.887;71.639.172.749.264;-594.119.226.496.589
119;-958.470.968.455.127;946.572.838.078.859;-915.616.093.709.623
120;-103.479.438.529.779;719.648.219.118.437;-564.834.236.624.408
121;-227.673.722.161.832;-106.501.079.469.759;491.991.254.528.443
122;-225.391.746.255.403;-100.807.073.414.436;593.212.405.180.722
123;-224.938.409.201.147;-100.370.820.528.195;588.325.988.968.129
124;-223.465.874.303.769;-966.121.768.885.437;657.852.013.624.716
125;-224.927.886.169.926;-100.682.266.748.562;576.398.557.569.471
126;-226.045.763.044.253;-103.627.975.859.924;526.653.195.897.475
127;-221.734.558.260.976;-920.583.057.933.495;757.183.275.487.868
128;-989.153.974.677.026;77.846.235.043.788;-596.711.453.282.226
129;-99.429.031.086.681;758.743.365.057.199;-640.062.697.267.735
130;-99.124.287.993.698;754.483.613.753.548;-638.607.697.393.426
131;-993.051.763.876.582;764.500.538.929.461;-623.275.441.062.332
132;15.143.984.875.669;141.890.095.426.422;-504.073.832.999.139
133;-980.148.608.780.701;79.941.732.593.718;-539.628.931.309.794
134;-986.909.632.695.647;788.605.387.034.587;-565.574.456.025.697
135;-801.396.906.341.913;132.292.639.758.549;563.757.852.180.521
136;-990.364.343.090.838;765.782.428.127.451;-619.506.395.587.019
137;-97.175.390.568.623;833.669.339.302.685;-471.875.931.912.833
138;-990.522.509.812.048;770.086.852.762.754;-614.626.242.051.279
139;-986.858.747.186.726;782.142.259.622.237;-59.626.273.661.514
140;-992.020.534.239.401;75.832.567.519.071;-639.726.714.687.811
141;-982.896.050.052.734;796.490.029.526.187;-560.102.661.788.969
142;38.387.030.766.666;-821.664.359.886.422;-452.945.819.493.682
143;163.946.747.135.989;-121.775.915.996.362;-113.406.854.534.952
144;-821.669.128.110.499;300.299.004.168.118;-448.492.599.373.862
145;118.135.254.951.071;-935.718.958.519.914;-175.306.693.094.324
146;114.725.634.812.236;210.424.396.882.922;178.848.587.259.231
147;960.791.383.844.661;339.414.316.692.112;179.514.512.099.645
148;839.239.490.376.619;-701.769.824.238.435;-175.813.993.075.219
149;852.873.749.687.758;-539.302.370.520.377;131.588.564.493.357
150;120.046.787.749.604;-728.336.260.559.724;223.941.776.737.027
151;-994.751.766.351.841;52.711.412.768.199;-261.129.994.799.811
152;169.076.277.806.769;-398.506.337.136.644;172.582.857.871.204
153;-151.015.284.364.855;139.881.555.330.206;116.652.738.503.976
154;82.843.084.244.633;-476.464.953.261.834;962.799.041.679.546
155;125.449.956.814.959;874.629.248.751.618;348.533.743.112.684
156;222.817.405.181.997;-518.669.526.043.094;268.556.697.709.951
157;131.340.786.784.919;520.894.341.434.454;255.340.250.194.213
158;-970.163.007.021.265;0.119452507929088;-552.198.816.319.068
159;207.463.383.589.391;-144.874.265.654.723;444.278.438.925.351
160;762.745.643.119.317;-100.529.769.141.122;-395.649.736.948.779
161;-21.671.603.956.084;790.350.951.580.811;171.640.390.250.903
162;858.270.322.691.136;-176.909.255.234.915;-125.838.076.488.724
163;381.587.666.163.339;-429.622.476.239.623;-220.342.355.317.327
164;121.087.938.037.151;-256.260.948.605.651;-24.667.143.696.329
165;726.813.204.825.545;-654.074.968.055.824;-221.695.176.293.103
166;-939.820.506.452.528;114.136.843.752.242;915.163.273.690.426
167;557.492.885.944.582;-437.484.183.259.167;-174.783.246.678.623
168;567.455.346.630.805;262.159.085.453.557;123.354.603.977.781
169;-838.979.496.965.716;808.146.518.642.281;425.783.831.786.689
170;985.380.658.303.394;-495.117.832.743.432;386.910.567.404.698
171;-129.833.237.118.786;311.909.491.173.034;583.170.639.003.227
172;-912.755.430.129.373;588.288.342.415.914;-307.670.402.068.786
173;-172.854.773.434.337;-29.520.388.023.928;-374.269.122.156.265
174;-173.002.167.939.938;-29.320.799.620.609;-244.282.505.110.707
175;-173.427.342.063.228;-292.362.580.747.522;-0.201590980964085
176;-175.096.249.491.153;-307.519.171.015.908;228.078.480.405.891
177;-174.732.035.334.197;-3.077.641.727.695;0.121284079396322
178;-173.813.235.121.756;-30.284.225.474.639;-236.833.222.865.566
179;-173.101.031.669.401;-283.994.245.839.454;146.212.888.561.915
180;-226.719.677.103.545;-107.084.058.340.281;402.614.453.796.261
181;-225.353.189.039.933;-105.098.643.745.105;411.400.940.831.315
182;-227.203.413.937.301;-107.566.222.394.804;403.633.056.608.709
183;-225.495.697.890.331;-1.048.671.642.778;424.697.778.990.661
184;-224.854.164.713.179;-104.826.994.012.294;398.104.013.768.233
185;-225.028.292.168.209;-103.302.561.933.426;453.767.693.721.919
186;-225.658.526.853.292;-103.078.317.279.213;491.374.531.647.097
187;-227.471.040.636.509;-106.943.668.774.296;442.774.556.881.203
188;-124.230.218.998.252;42.140.526.682.321;-435.641.593.698.432
189;-123.506.564.352.058;457.712.315.864.772;-334.543.992.187.429
190;-125.042.076.238.507;403.654.873.539.092;-462.215.886.324.178
191;-123.892.574.639.209;466.620.257.743.407;-286.436.991.135.486
192;-125.023.575.664.993;423.322.145.357.263;-395.360.017.378.734
193;-12.542.527.506.841;415.473.169.640.029;-402.028.804.029.714
194;-195.054.587.146.441;-590.415.277.680.531;141.059.249.999.526
195;-192.359.087.976.242;-515.138.341.969.819;289.586.934.683.021
196;-199.794.846.410.779;-664.110.247.278.702;172.764.924.853.728
197;-160.391.624.112.418;-106.402.382.748.067;-16.824.311.962.105
198;-15.439.688.407.587;749.467.549.281.476;213.862.136.467.107
199;-159.544.036.784.352;-840.679.057.603.727;-126.614.916.564.745
200;-126.465.577.064.111;392.800.722.352.002;-471.794.580.354.746
201;-124.809.376.295.011;445.254.692.893.724;-358.471.923.148.677
202;-149.895.897.110.477;52.362.340.855.641;-221.163.106.880.502
203;-151.486.076.085.258;270.264.156.000.757;-233.517.698.707.929
204;-214.065.930.068.658;-871.564.247.776.098;314.984.111.425.932
205;-213.867.893.539.891;-86.349.390.185.041;335.072.164.777.228
206;-186.109.858.385.313;-477.873.497.966.663;520.887.244.079.513
207;-184.477.836.740.509;-454.330.512.383.988;667.297.165.585.284
208;-182.656.358.850.262;-417.973.378.419.873;113.179.336.604.758
209;-182.325.736.883.336;-392.113.785.374.346;187.370.112.314.109
210;-180.865.617.562.119;-418.627.218.331.652;406.601.534.991.463
211;-182.167.985.700.789;-420.640.032.241.417;760.611.888.039.929
212;-181.204.932.550.995;-417.500.234.569.273;569.771.504.324.881
213;-18.358.450.333.316;-432.952.348.698.774;10.155.575.284.822
214;-184.216.425.454.637;-427.453.881.230.969;150.099.603.017.939
215;-179.744.931.477.947;-280.060.137.842.814;484.406.956.057.895
216;-184.709.420.108.585;-453.836.983.587.487;788.186.596.987.223
217;-184.187.868.930.852;-443.934.270.181.796;879.179.916.832.538
218;-182.999.120.023.422;-430.502.213.997.055;843.158.379.743.815
219;-182.752.937.582.971;-437.395.557.735.334;463.733.246.329.059
220;-182.644.831.892.419;-428.710.889.244.519;7.502.426.217.152
221;-166.406.828.681.173;-195.083.852.539.417;-378.823.217.970.333
222;-165.695.369.343.736;-195.602.708.381.169;-71.101.847.793.421
223;-16.665.481.080.596;-198.825.535.090.563;-242.224.558.673.277
224;-167.459.411.095.867;-225.394.068.929.455;-831.975.307.786.491
225;-166.333.197.469.789;-178.860.214.382.137;222.622.473.844.107
226;-165.579.380.570.042;-165.701.829.135.217;490.779.975.050.173
227;-166.225.812.554.084;-183.768.137.187.623;0.0845738506427674
228;-164.321.300.840.593;-121.483.783.969.197;139.322.437.220.776
229;-168.408.242.183.559;-184.818.962.065.124;979.531.994.431.069
230;-168.267.912.990.052;-191.054.857.521.789;72.761.446.103.003
231;-165.614.508.158.614;-153.756.320.972.394;853.484.073.021.217
232;-165.131.249.330.011;-142.353.201.028.038;103.580.991.794.262
233;-166.747.558.525.741;-189.632.506.353.796;161.477.442.276.018
234;-166.154.828.565.281;-161.590.380.994.435;783.449.979.676.699
235;-163.399.567.277.243;-802.085.517.989.499;24.808.461.415.666
236;-165.883.539.947.725;-149.820.402.643.223;100.302.887.870.605
237;-165.598.127.518.517;-180.222.669.160.874;-0.840028305686243
238;-166.196.503.961.705;-19.247.297.549.898;-226.524.880.427.488
239;-173.751.157.028.135;-255.923.158.714.128;114.621.297.020.745
240;-173.196.082.927.355;-260.259.838.187.518;724.165.454.162.556
241;-173.602.113.863.102;-283.942.318.787.055;0.405959504629553
242;-173.517.064.619.514;-291.054.786.086.127;-274.869.032.977.106
243;-17.139.404.805.542;-20.985.554.017.286;170.659.946.615.959
244;-173.865.292.629.268;-245.922.961.680.454;15.870.933.867.397
245;-154.764.950.626.662;269.533.980.246.946;426.091.188.516.723
246;-157.275.674.150.613;-451.239.934.685.823;-10.587.966.332.505
247;-159.180.509.023.669;-74.548.609.833.535;-110.936.425.882.553
248;-155.237.591.362.832;116.729.686.557.739;0.940615294382749
249;-156.482.546.566.067;0.0115249971499665;257.445.463.181.667
250;-160.595.974.108.029;-989.575.206.408.873;-141.083.089.998.129
251;-161.043.804.502.259;-110.084.010.620.725;-163.557.990.385.885
252;-158.601.154.101.433;-330.814.635.017.186;0.93986190817104
253;-160.580.179.948.184;-779.197.433.599.482;-707.211.068.474.113
254;-161.899.506.072.602;-127.061.971.083.831;-16.813.428.030.552
255;-169.620.655.228.865;-22.047.288.302.388;-67.058.264.359.216
256;-170.508.851.881.742;-236.580.194.229.087;-858.934.324.454.723
257;-20.461.014.352.264;-714.403.233.025.636;290.967.488.596.324
258;-188.136.305.371.976;-51.129.055.843.752;162.427.871.359.371
259;-186.936.316.490.095;-479.116.215.467.452;219.965.026.218.747
260;-188.085.627.366.697;-514.339.871.989.787;142.707.483.359.354
261;-189.213.014.457.297;-528.573.628.465.587;137.049.759.859.692
262;-18.841.302.387.356;-508.588.741.611.039;175.433.865.878.648
263;-188.257.543.599.087;-503.263.164.338.894;188.544.439.840.669
264;-188.388.534.222.076;-524.136.947.620.416;130.310.242.267.786
265;-188.068.335.331.247;-502.796.607.193.891;179.630.910.963.571
266;-189.678.865.631.623;-535.585.657.319.967;143.695.242.854.589
267;-187.594.045.221.608;-489.852.955.217.541;215.541.269.641.365
268;-189.094.049.902.692;-508.430.875.847.754;212.620.385.290.261
269;-189.875.184.427.419;-532.378.324.453.842;161.634.385.440.307
270;-211.698.374.378.109;-836.277.667.594.419;328.043.972.471.018
271;-210.981.199.963.423;-825.243.947.476.192;352.797.088.060.176
272;-213.566.532.714.803;-87.639.091.582.941;281.633.814.619.711
273;-212.419.152.643.119;-855.417.742.641.664;295.702.453.540.397
274;-212.383.093.843.641;-847.015.219.162.299;334.134.261.323.605
275;-19.876.435.254.439;-658.722.436.773.887;150.284.643.733.981
276;-198.323.732.692.268;-653.911.130.626.282;14.918.597.082.832
277;-197.130.217.192.774;-619.843.770.120.565;217.373.278.605.155
278;-198.795.177.804.848;-650.191.211.066.245;182.382.926.678.115
279;-198.717.065.830.823;-657.879.910.259.443;150.641.109.647.732
280;-21.768.481.074.773;-935.442.286.209.127;311.420.901.593.686
281;-215.336.420.517.923;-880.731.515.154.035;393.084.677.474.111
282;-217.332.441.926.326;-916.303.031.327.355;35.316.353.730.938
283;-214.807.712.104.374;-848.711.634.898.992;487.178.339.175.895
284;-228.198.304.848.372;-108.013.436.536.691;40.225.655.680.208
285;-185.563.005.958.803;-454.610.729.548.576;445.228.376.940.802
286;-176.363.406.568.321;-324.438.513.835.931;-218.365.546.262.219
287;-200.483.032.310.626;-550.325.999.653.898;708.207.947.889.171
288;-18.003.404.703.851;-383.532.830.343.964;-125.439.580.918.718
289;-179.333.683.839.075;-374.991.805.462.091;-143.199.119.555.602
290;-177.004.730.947.542;-282.943.325.068.425;214.489.601.847.065
291;-204.919.062.963.766;-742.975.334.449.768;191.881.394.749.428
292;-205.002.331.109.554;-745.491.680.358.561;191.607.382.064.758
293;-205.107.403.330.072;-745.119.194.317.535;192.502.545.983.251
294;-180.692.413.837.635;-396.989.554.089.285;0.213235721811638
295;-17.951.118.839.509;-382.235.632.774.468;-0.0807754453161948
296;-180.285.135.668.519;-393.231.741.905.209;0.0613471300776819
297;-178.824.366.758.348;-363.783.096.607.955;344.059.542.076.018
298;-177.083.226.561.504;-354.671.570.967.411;-0.552485008719896
299;-144.063.799.139.871;201.206.948.747.782;-287.796.739.321.989
300;-145.089.870.412.482;179.753.222.188.052;-577.346.814.443.143
301;-145.874.340.041.304;122.090.667.343.157;-235.369.913.008.409
302;-159.897.095.272.279;-944.363.407.513.915;-158.522.967.983.058
303;-159.309.836.542.579;-579.333.417.046.875;-468.846.482.973.554
304;-160.393.316.574.888;-894.489.450.596.697;-10.832.100.170.173
305;-21.297.121.969.553;-861.935.820.905.372;311.632.652.662.599
306;-211.979.150.279.234;-848.160.980.257.549;31.262.958.378.271
307;-212.762.808.536.549;-866.714.654.898.233;280.538.200.489.551
308;-212.807.262.080.962;-866.244.753.018.154;280.986.163.756.894
309;-169.020.208.228.174;-245.083.889.823.221;-704.474.997.567.415
310;-169.162.180.395.094;-242.314.273.591.412;-638.939.790.117.648
311;579.247.440.008.469;-144.274.467.448.822;6.547.791.985.599
312;-169.933.687.139.577;-26.087.089.011.227;-666.654.521.731.736
313;-167.664.828.080.162;-223.604.082.079.334;-679.101.840.968.455
314;-168.646.338.501.071;-227.812.930.353.217;-391.760.516.958.292
315;-168.781.499.203.523;-236.814.842.548.395;-601.393.266.616.922
316;-168.286.153.142.011;-231.022.312.209.118;-67.182.255.933.324
317;-168.284.557.042.059;-215.912.674.192.579;-142.712.059.867.052
318;-169.796.507.823.625;-249.254.717.277.743;-686.268.203.418.682
319;-169.596.744.424.078;-245.909.729.764.006;-532.209.928.054.697
320;-170.165.699.941.892;-256.010.293.556.501;-608.142.640.920.966
321;-179.810.319.169.694;-390.547.315.852.667;0.614786960544583
322;-179.698.571.243.136;-38.936.226.255.091;0.593087180100209
323;-179.776.635.853.108;-392.555.874.637.215;0.691688292446432
324;-17.782.284.929.777;-352.607.253.370.035;556.409.140.119.823
325;-180.327.268.631.681;-399.673.897.070.745;0.795018772691798
326;-181.448.114.269.342;-402.670.875.300.172;403.408.090.130.164
327;-181.084.898.136.197;-407.888.278.207.518;0.9836169350531
328;-180.348.580.296.955;-397.345.023.316.813;0.800809934117044
329;-106.191.980.565.928;708.908.705.492.726;-467.824.169.941.912
330;-105.690.895.022.172;732.765.639.257.548;-402.009.159.493.821
331;-104.251.246.860.507;768.076.107.851.874;-34.382.699.964.332
332;-173.469.204.324.098;-282.731.521.209.881;-335.247.135.580.306
333;-169.496.603.675.421;-154.286.972.508.347;252.066.510.663.732
334;-212.504.018.331.309;-840.308.792.198.623;341.662.965.905.657
335;-212.422.536.178.183;-838.095.253.576.689;344.456.108.139.038
336;-213.467.284.902.556;-869.933.284.369.855;277.379.575.045.743
337;-21.263.080.967.932;-859.622.754.401.535;275.504.384.559.611
338;-210.210.185.254.389;-826.226.420.476.382;289.810.167.377.977
339;-212.850.836.693.945;-86.071.263.311.792;283.159.935.671.983
340;-212.516.730.211.693;-858.655.376.887.361;275.412.395.747.152
341;-211.892.064.090.683;-851.154.708.934.211;273.749.462.661.441
342;-183.332.372.486.489;-429.100.478.752.969;423.096.345.743.321
343;-110.156.016.468.894;633.733.889.297.387;-504.470.079.726.101
344;-139.042.897.357.654;203.576.578.563.055;-343.911.805.679.719
345;-139.525.369.668.145;219.569.539.765.944;-260.039.668.712.009
346;-146.384.314.849.817;123.741.116.185.168;-166.037.234.563.529
347;-143.296.022.988.373;214.306.457.656.202;222.916.424.493.954
348;-151.185.599.995.145;463.917.916.027.447;-216.170.972.343.588
349;-184.725.019.578.565;-442.502.329.618.251;942.215.055.350.592
350;-157.834.200.507.059;-467.407.198.385.071;-127.387.853.310.294
351;-158.244.930.890.322;-697.356.612.614.147;-191.738.546.377.982
352;-117.220.477.417.611;58.315.911.895.263;-277.747.860.341.382
353;-120.876.691.894.009;484.908.064.005.435;-468.678.057.331.719
354;-235.069.448.612.176;-114.273.864.851.439;553.975.139.757.886
355;-159.306.149.021.969;-467.398.206.282.289;-554.006.643.876.584
356;-158.508.876.829.379;-213.348.861.778.804;0.55127157819146
357;779.686.191.994.904;-215.298.361.309.232;-409.945.723.099.127
358;506.467.633.258.976;226.921.994.813.133;-152.075.678.830.218
359;45.672.474.732.358;-266.933.132.237.667;-100.209.514.274.075
360;377.861.181.042.377;243.221.729.153.676;-106.807.295.983.946
361;403.999.013.003.944;166.640.585.090.317;-891.595.435.900.491
362;348.011.380.326.907;639.840.802.346.084;-758.380.523.375.552
363;33.076.059.273.534;599.032.573.290.575;-104.800.152.626.366
364;380.342.699.570.554;429.735.760.472.136;-735.295.519.024.402
365;316.445.176.505.556;806.833.699.897.047;-834.495.332.075.096
366;408.117.965.296.922;244.856.740.533.763;-712.418.466.557.377
367;341.046.099.510.233;859.233.841.195.204;-464.238.831.730.188
368;168.390.838.109.808;286.033.975.425.142;921.396.417.580.364
369;434.553.741.848.049;-19.445.817.489.787;-862.545.661.625.509
370;499.650.812.291.715;-423.181.766.592.885;-771.579.259.813.771
371;57.088.091.519.493;-945.655.511.717.111;-821.842.571.592.328
372;10.000.023.973.738;209.571.912.351.647;-123.590.033.593.763
373;722.677.984.903.793;-166.570.625.889.006;-225.463.704.360.315
374;112.441.740.400.135;188.393.027.070.283;-148.842.023.828.774
375;17.527.565.302.125;150.281.701.436.303;-140.396.236.974.906
376;183.877.891.291.969;143.359.339.221.614;-139.060.417.933.686
377;355.699.584.907.797;251.840.520.248.604;-129.382.112.216.018
378;848.922.837.907.757;-266.196.555.677.456;-486.381.068.600.598
379;218.056.679.526.484;122.438.506.632.799;-134.362.817.141.325
380;169.817.742.620.387;154.176.647.357.435;-138.220.473.451.476
381;769.927.223.827.924;-218.756.048.311.757;-591.229.565.269.751
382;152.448.440.056.628;163.117.072.796.624;-143.333.460.715.888
383;794.781.377.034.595;-233.325.494.684.421;-558.807.204.297.533
384;693.837.231.085.514;-170.985.628.006.483;-696.333.143.070.257
385;202.896.050.995.419;18.745.504.501.667;-386.894.086.211.367
386;16.051.532.404.367;158.512.285.576.821;-142.217.933.645.615
387;22.460.036.511.908;118.908.655.453.835;-133.531.953.390.679
388;208.984.847.239.508;127.819.191.146.702;-135.443.607.323.783
389;142.822.560.978.345;181.446.765.445.584;-123.576.142.405.453
390;707.149.968.203.777;-179.489.730.125.028;-677.775.111.515.756
391;606.702.399.622.071;-116.741.757.201.797;-792.351.590.437.249
392;466.965.816.518.414;-24.029.502.214.347;-838.696.715.622.853
393;116.534.589.124.391;186.023.429.880.421;-148.320.568.477.356
394;748.403.002.147.483;-205.784.842.111.449;-620.370.481.218.419
395;13.082.571.469.856;175.741.067.160.181;-1.461.706.495.312
396;755.501.134.243.273;-207.041.296.700.886;-56.870.156.060.732
397;514.328.305.384.481;-607.519.841.565.414;-939.847.048.763.788
398;667.179.438.915.404;-152.781.797.072.963;-698.827.531.736.645
399;342.657.916.043.773;462.614.062.587.713;-117.440.673.455.066
400;863.521.374.130.896;-247.801.468.040.161;554.110.896.149.884
401;230.119.380.713.311;115.550.229.891.961;-132.755.563.897.483
402;138.667.083.365.021;171.773.870.037.683;-145.213.385.921.184
403;832.545.514.873.413;-245.544.702.689.452;-326.120.244.886.334
404;227.711.710.420.164;116.331.832.647.001;-133.001.399.352.128
405;37.785.120.680.412;568.528.933.738.952;-530.852.050.596.545
406;594.113.035.780.833;-103.174.958.977.762;-727.207.026.237.132
407;197.155.678.049.423;149.217.050.419.808;-113.851.479.184.019
408;127.878.509.713.808;210.210.001.261.405;-897.938.657.549.555
409;655.137.810.330.623;-106.037.541.873.762;-257.720.154.913.062
410;169.659.855.199.309;261.241.913.163.809;501.620.562.732.233
411;504.267.382.000.175;144.286.435.187.037;250.983.728.991.734
412;186.095.494.060.956;323.906.920.849.862;179.274.956.218.166
